Transparent|透明
Reflection to the floor (Common A)|床への映り込み（汎用A）
Reflection to the floor (Common B)|床への映り込み（汎用B）
Reflection to the floor (Common C)|床への映り込み（汎用C）
Reflection to the floor (Common D)|床への映り込み（汎用D）
Floor Light A|床の光A
Floor Light B|床の光B
Glittering Light|キラキラな光
Window A|窓A
Window B|窓B
Window B|窓B
Window C|窓C
Window A (Dark)|窓A（暗闇）
Window B (Dark)|窓B（暗闇）
Window B (Dark)|窓B（暗闇）
Window C (Dark)|窓C（暗闇）
Window A|窓A
Window B|窓B
Window B|窓B
Window C|窓C
Window A (Dark)|窓A（暗闇）
Window B (Dark)|窓B（暗闇）
Window B (Dark)|窓B（暗闇）
Window C (Dark)|窓C（暗闇）
Window Light A (Window A, C)|窓の光A（窓A・窓C）
Window Light B (Window B)|窓の光B（窓B）
Window Light B (Window B)|窓の光B（窓B）
Window D|窓D
Window D (Dark)|窓D（暗闇）
Curtain C (Yellow)|カーテンC（黄色）
Curtain C (Yellow)|カーテンC（黄色）
Curtain C (Yellow)|カーテンC（黄色）
Curtain A|カーテンA
Curtain C (Yellow)|カーテンC（黄色）
Curtain C (Red)|カーテンC（赤）
Window D|窓D
Window D (Dark)|窓D（暗闇）
Curtain C (Yellow)|カーテンC（黄色）
Curtain C (Yellow)|カーテンC（黄色）
Curtain C (Yellow)|カーテンC（黄色）
Curtain A|カーテンA
Curtain C (Yellow)|カーテンC（黄色）
Curtain C (Red)|カーテンC（赤）
Reflection to the floor (Window D)|床への映り込み（窓D）
Reflection to the floor (Window D, Dark)|床への映り込み（窓D・暗闇）
Reflection to the floor (Curtain C, Yellow)|床への映り込み（カーテンC・黄色）
Reflection to the floor (Curtain C, Yellow)|床への映り込み（カーテンC・黄色）
Reflection to the floor (Curtain C, Yellow)|床への映り込み（カーテンC・黄色）
Curtain B|カーテンB
Reflection to the floor (Curtain C, Yellow)|床への映り込み（カーテンC・黄色）
Reflection to the floor (Curtain C, Red)|床への映り込み（カーテンC・赤）
Window Light C (Window D)|窓の光C（窓D）
Window E|窓E
Curtain C (Red)|カーテンC（赤）
Curtain C (Red)|カーテンC（赤）
Curtain C (Red)|カーテンC（赤）
Wall Detail (Extension)|壁装飾（延長用）
Wall Detail|壁装飾
Wall Detail (Left, Extension)|壁装飾（左・延長用）
Window Light C (Window D)|窓の光C（窓D）
Window E (Dark)|窓E（暗闇）
Curtain C (Red)|カーテンC（赤）
Curtain C (Red)|カーテンC（赤）
Curtain C (Red)|カーテンC（赤）
Wall Detail (Right)|壁装飾（右）
Wall Detail|壁装飾
Wall Detail (Left)|壁装飾（左）
Shadow (Can Walk)|影（通行可能）
Wall B (Can Walk)|壁B（通行可能）
Reflection to the floor (Curtain C, Red)|床への映り込み（カーテンC・赤）
Reflection to the floor (Curtain C, Red)|床への映り込み（カーテンC・赤）
Reflection to the floor (Curtain C, Red)|床への映り込み（カーテンC・赤）
Wall Detail (Right)|壁装飾（右）
Wall Detail|壁装飾
Wall Detail (Left)|壁装飾（左）
Gate (Wall B)|ゲート（壁B）
Gate (Wall B)|ゲート（壁B）
Gate (Wall B)|ゲート（壁B）
Wall B|壁B
Shadow (Cannot Walk)|影（通行不可）
Wall Detail (Right)|壁装飾（右）
Wall Detail (Right, Extension)|壁装飾（右・延長用）
Wall Detail (Left)|壁装飾（左）
Gate (Wall B)|ゲート（壁B）
