Stool A|椅子A
Chair A (Top)|背もたれ椅子A（上向き）
Chair A (Left)|背もたれ椅子A（左向き）
Barrel A|樽A
Barrel B|樽B
Partition A|ついたてA
Partition A|ついたてA
Partition A|ついたてA
Stool B|椅子B
Chair A (Bottom)|背もたれ椅子A（下向き）
Chair A (Right)|背もたれ椅子A（右向き）
Sacks A|麻袋A
Sack B|麻袋B
Partition A|ついたてA
Partition A|ついたてA
Partition A|ついたてA
Stool C|椅子C
Crates B|木箱B
Pot A|壺A
Pot B|壺B
Pot C|壺C
Partition B|ついたてB
Partition B|ついたてB
Partition B|ついたてB
Crate A|木箱A
Crates B|木箱B
Baggage A|荷物A
Baggage B|荷物B
Crate C|木箱C
Partition B|ついたてB
Partition B|ついたてB
Partition B|ついたてB
Furniture A (Top Board)|家具A（天板）
Furniture A (Top Board, Double)|家具A（天板・両面）
Furniture A (Top Board, Books)|家具A（天板・本）
Furniture B (Top Board)|家具B（天板）
Furniture B (Top Board, Double)|家具B（天板・両面）
Furniture B (Top Board, Celestial Globe)|家具B（天板・天球儀）
Cabinet|戸棚
Shelf (V)|棚（縦）
Furniture A (Closet)|家具A（クローゼット）
Furniture A (Chest of Drawers)|家具A（タンス）
Furniture A (Bookshelf)|家具A（本棚）
Furniture B (Chest of Drawers)|家具B（タンス）
Furniture B (Bookshelf)|家具B（本棚）
Furniture B (Sundries Shelf)|家具B（雑貨棚）
Cabinet|戸棚
Shelf A (V)|棚A（縦）
Furniture A (Drawer A)|家具A（引き出しA）
Furniture A (Drawer B)|家具A（引き出しB）
Furniture A (Bookshelf)|家具A（本棚）
Furniture B (Common)|家具B（共通）
Shelf B (V, Right)|棚B（縦・右向き）
Shelf B (V, Left)|棚B（縦・左向き）
Cabinet|戸棚
Shelf A (V)|棚A（縦）
Chest A|チェストA
Chest B|チェストB
Chest B|チェストB
Chest B|チェストB
Shelf B (V, Right)|棚B（縦・右向き）
Shelf B (V, Left)|棚B（縦・左向き）
Corner Chest (Left)|コーナーチェスト（左向き）
Corner Chest (Right)|コーナーチェスト（右向き）
Chest A|チェストA
Chest B|チェストB
Chest B|チェストB
Chest B|チェストB
Shelf B (V, Right)|棚B（縦・右向き）
Shelf B (V, Left)|棚B（縦・左向き）
Corner Chest (Left)|コーナーチェスト（左向き）
Corner Chest (Right)|コーナーチェスト（右向き）
Books|本
Celestial Globe|天球儀
Desk Lamp|卓上ランプ
Vase|花瓶
Books and Vase|本と花瓶
Fruit|果物
Plush Doll|ぬいぐるみ
Wall Clock|壁掛け時計
Painting A|絵A
Painting B|絵B
Painting C|絵C
Painting D|絵D
Painting E|絵E
Mirror|鏡
Wall Hanging Bookshelf|壁掛け本棚
Wall Clock|壁掛け時計
Bed A1 (Sneak Through)|ベッドA1（すり抜け）
Bed A1 (Cannot Walk)|ベッドA1（通行不可）
Bed A2 (Cannot Walk)|ベッドA2（通行不可）
Bed A2 (Sneak Through)|ベッドA2（すり抜け）
Desk A (Pitcher and Towel)|デスクA（水差しとタオル）
Desk A|デスクA
Desk A (Dresser A)|デスクA（鏡台A）
Desk A (Study Desk)|デスクA（勉強机）
Bed A1|ベッドA1
Bed A|ベッドA
Bed A1|ベッドA1
Bed A2|ベッドA2
Bed A2|ベッドA2
Desk A|デスクA
Desk A (Stool)|デスクA（椅子あり）
Desk A (Dresser B)|デスクA（鏡台B）
Bed A1|ベッドA1
Bed A|ベッドA
Bed A1|ベッドA1
Bed A2|ベッドA2
Bed A2|ベッドA2
Desk A (Drawer)|デスクA（引き出し）
Stool (Desk A)|デスク用の椅子A
Desk A (Desk Lamp)|デスクA（卓上ランプ）
Bed A1|ベッドA1
Bed A2|ベッドA2
Mini Table A (Candlestick)|ミニテーブルA（燭台）
Mini Table A (Lamp)|ミニテーブルA（ランプ）
Mini Table B (Top Half)|ミニテーブルB（上半分）
Mini Table B (Top Half, Vase)|ミニテーブルB（上半分・花瓶）
Mini Table B (Top Half, Candlestick)|ミニテーブルB（上半分・燭台）
Costume Chest|衣装箱
Mini Table A|ミニテーブルA
Mini Table A (Vase)|ミニテーブルA（花瓶）
Mini Table A (Candlestick)|ミニテーブルA（燭台）
Mini Table A (Lamp)|ミニテーブルA（ランプ）
Mini Table B (Bottom Half A)|ミニテーブルB（下半分A）
Mini Table B (Bottom Half B)|ミニテーブルB（下半分B）
Lamp (Mini Table B, Top Half)|ランプ（ミニテーブルB・上半分）
Costume Chest|衣装箱
Fireplace A (Top A)|暖炉A（上A）
Fireplace A (Top A)|暖炉A（上A）
Fireplace A (Top A)|暖炉A（上A）
Flower Lease|フラワーリース
Fireplace B (Vase)|暖炉B（花瓶）
Fireplace (Top)|暖炉（上）
Fireplace B (Candlestick)|暖炉B（燭台）
Firewood|薪
Fireplace A (Center A)|暖炉A（中央A）
Fireplace A (Center A)|暖炉A（中央A）
Fireplace A (Center A)|暖炉A（中央A）
Fireplace (Top)|暖炉（上）
Fireplace B|暖炉B
Fireplace B|暖炉B
Fireplace B|暖炉B
Firewood|薪
Fireplace A|暖炉A
Fireplace A|暖炉A
Fireplace A|暖炉A
Fireplace C|暖炉C
Fireplace B|暖炉B
Fireplace B|暖炉B
Fireplace B|暖炉B
Fireplace fence (Fireplace B)|暖炉用フェンス（暖炉B）
Fireplace A (Center B)|暖炉A（中央B）
Fireplace A (Center B)|暖炉A（中央B）
Fireplace A (Center B)|暖炉A（中央B）
Fireplace C|暖炉C
Fireplace C (Picture)|暖炉C（写真立て）
Storage shelf (Wall N)|収納棚（壁N）
kiln (Wall N)|窯（壁N）
kiln (Wall N, Bottom C)|窯（壁N・下C）
Wall N|壁N
Wall N (Wall Detail)|壁N（壁装飾）
Dish Shelf A (Wall N)|食器棚A（壁N）
Dish Shelf B (Wall N)|食器棚B（壁N）
Dish Shelf B (Wall N)|食器棚B（壁N）
Storage shelf (Wall N)|収納棚（壁N）
kiln (Wall N, Center A)|窯（壁N・中央A）
kiln (Wall N, Center B)|窯（壁N・中央B）
Wall N|壁N
Wall N (Wall Detail)|壁N（壁装飾）
Dish Shelf A (Wall N)|食器棚A（壁N）
Dish Shelf B (Wall N)|食器棚B（壁N）
Dish Shelf B (Wall N)|食器棚B（壁N）
Storage shelf (Wall N)|収納棚（壁N）
kiln (Wall N, Bottom A)|窯（壁N・下C）
kiln (Wall N, Bottom B)|窯（壁N・下B）
Kitchen Counter (Left B)|調理台（左B）
Kitchen Counter (Center B)|調理台（中央B）
Kitchen Counter (Right B)|調理台（右B）
Dish Shelf C|食器棚C
Dish Shelf C|食器棚C
Kitchen Counter (V)|調理台（縦）
Foodstuff|食材
Dishes|皿
Kitchen Counter (Left A)|調理台（左A）
Kitchen Counter (Center A)|調理台（中央A）
Kitchen Counter (Right A)|調理台（右A）
Dish Shelf C|食器棚C
Dish Shelf C|食器棚C
Kitchen Counter (V)|調理台（縦）
Cutting Board (V, Left)|まな板（縦・左向き）
Cutting Board (V, Right)|まな板（縦・右向き）
Kitchen Counter (Left A)|調理台（左A）
Kitchen Counter (Center A)|調理台（中央A）
Kitchen Counter (Right A)|調理台（右A）
Dish Shelf C|食器棚C
Dish Shelf C|食器棚C
Kitchen Counter (V)|調理台（縦）
Cooking Utensils|調理器具
Bottles|ボトル
Oven (Left)|かまど（左）
Oven (Center)|かまど（中央）
Oven (Right)|かまど（右）
Round Table (Top Half B)|ラウンドテーブル（上半分B）
Round Table (Top Half B)|ラウンドテーブル（上半分B）
Mini Table C|ミニテーブルC
Cup & Teapot|カップとポット
Candlestick|燭台
Sink A|流しA
Sink B|流しB
Sink C|流しC
Round Table (Top Half A)|ラウンドテーブル（上半分A）
Round Table (Top Half A)|ラウンドテーブル（上半分A）
Chair (Round Table, Bottom Right)|ラウンドテーブルの椅子（右下）
Chair (Round Table, Top Left)|ラウンドテーブルの椅子（左上）
Chair (Round Table, Top Right)|ラウンドテーブルの椅子（右上）
Cutting Board|まな板
Pot A|鍋A
Pots B|鍋B
Round Table|ラウンドテーブル
Round Table|ラウンドテーブル
Chair (Round Table, Bottom Left)|ラウンドテーブルの椅子（左下）
Chair (Round Table, Top Left)|ラウンドテーブルの椅子（左上）
Chair (Round Table, Top Right)|ラウンドテーブルの椅子（右上）
Sofa A (Right)|ソファーA（右向き）
Sofa A (Left)|ソファーA（左向き）
Sofa D (Up)|ソファーD（上向き）
Sofa D (Up)|ソファーD（上向き）
Sofa C (Up)|ソファーC（上向き）
Potted Plant A|植木鉢A
Potted Plant C|植木鉢C
