Transparent|透明
Shop Sign (Weapon Shop)|看板（武器屋）
Shop Sign (Armor Shop)|看板（防具屋）
Shop Sign (Weapon & Armor Shop)|看板（武器・防具屋）
Shop Sign (Magic Shop)|看板（魔法屋）
Shop Sign (Common)|看板（汎用）
Notice Board A|掲示板A
Notice Board A|掲示板A
Iron Sign (Left)|アイアン看板（左）
Iron Sign|アイアン看板
Iron Sign (Pub)|アイアン看板（酒場）
Shop Sign (Coin Shop)|看板（コインショップ）
Shop Sign (Pharmacy)|看板（薬屋）
Shop Sign (Bakery)|看板（パン屋）
Notice Board A|掲示板A
Notice Board A|掲示板A
Iron Sign (Right)|アイアン看板（右）
Iron Sign (Item Shop)|アイアン看板（道具屋）
Iron Sign (Common)|アイアン看板（汎用）
Tapestry A|タペストリーA
Tapestry B|タペストリーB
Tapestry C|タペストリーC
Sign A|立て札A
Sign B|立て札B
Iron Sign (Inn)|アイアン看板（宿屋）
Iron Sign (Magic Shop)|アイアン看板（魔法屋）
Iron Sign (Coin Shop)|アイアン看板（コインショップ）
Post|ポスト
Stone Monument A|石碑A
Stone Monument B|石碑B
Sign C|立て札C
Notice Board B|掲示板B
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Shadow (Criff, Water Edge)|影（水際の崖）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Shadow (Criff, Water Edge)|影（水際の崖）
Cliff|崖
Cliff|崖
Cliff|崖
Boulder B|岩B
Stepping Stones|踏み石
Grave A|墓A
Grave B|墓B
Grave C|墓C
Gravel A|砂利A
Gravel B|砂利B
Boulder A|岩A
Boulder B|岩B
Grave D|墓D
Grave A|墓A
Grave B|墓B
Offered Flowers|お供えの花
Grass A|草A
Grass B|草B
Grass C|草C
Bush A|植え込みA
Flowers A|花A
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree A|大きな木A
Large Tree A|大きな木A
Grass D|草D
Tree|木
Flowers B|花B
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree A|大きな木A
Large Tree A|大きな木A
Flowers C|花C
Tree|木
Flowers D|花D
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Planter A|プランターA
Planter B|プランターB
Planter C|プランターC
Planter I|プランターI
