Transparent|透明
Wall B|壁B
Wall B|壁B
Wall B|壁B
Wall B|壁B
Window (Wall B)|窓（壁B）
Window (Wall B)|窓（壁B）
|
Entrance A|入口A
Wall B|壁B
Wall B|壁B
Wall B|壁B
Wall B|壁B
Window (Wall B)|窓（壁B）
Window (Wall B)|窓（壁B）
Exit A (Darkness)|出口A（暗闇）
Entrance A|入口A
Wall B|壁B
Wall B|壁B
Wall B|壁B
Window (Wall B, Darkness)|窓（壁B・暗闇）
Wall B|壁B
Wall B|壁B
Exit A (Darkness)|出口A（暗闇）
Tent Wall|テントの壁
Tent Wall|テントの壁
Window A|窓A
|
Window (Wall B)|窓（壁B）
Window B|窓B
Spears|槍
Spears|槍
Tent Wall|テントの壁
Tent Wall|テントの壁
Window A|窓A
Window C|窓C
Window D|窓D
Window B|窓B
Bows|弓
Shield A|盾A
Entrance (Tent)|入口（テント）
Entrance (Tent)|入口（テント）
Entrance (Tent)|入口（テント）
Exit (Tent, Darkness)|出口（テント・暗闇）
Exit (Tent, Darkness)|出口（テント・暗闇）
Exit (Tent, Darkness)|出口（テント・暗闇）
Shield B|盾B
Shield C|盾C
Entrance (Tent)|入口（テント）
Entrance (Tent)|入口（テント）
Entrance (Tent)|入口（テント）
Exit (Tent, Darkness)|出口（テント・暗闇）
Exit (Tent, Darkness)|出口（テント・暗闇）
Exit (Tent, Darkness)|出口（テント・暗闇）
Swords|双剣
Sword|剣
Entrance B|入口B
Entrance B|入口B
Entrance C|入口C
Entrance C|入口C
Entrance C|入口C
Entrance D|入口D
Entrance D|入口D
Entrance D|入口D
Entrance B|入口B
Entrance B|入口B
Entrance C|入口C
Entrance C|入口C
Entrance C|入口C
Entrance D|入口D
Entrance D|入口D
Entrance D|入口D
Exit B (Darkness)|出口B（暗闇）
Exit B (Darkness)|出口B（暗闇）
Exit C (Darkness)|出口C（暗闇）
Exit C (Darkness)|出口C（暗闇）
Exit C (Darkness)|出口C（暗闇）
Exit D (Darkness)|出口D（暗闇）
Exit D (Darkness)|出口D（暗闇）
Exit D (Darkness)|出口D（暗闇）
Exit B (Darkness)|出口B（暗闇）
Exit B (Darkness)|出口B（暗闇）
Exit C (Darkness)|出口C（暗闇）
Exit C (Darkness)|出口C（暗闇）
Exit C (Darkness)|出口C（暗闇）
Exit D (Darkness)|出口D（暗闇）
Exit D (Darkness)|出口D（暗闇）
Exit D (Darkness)|出口D（暗闇）
Dish Shelf|食器棚
Dish Shelf|食器棚
Shelf A|棚A
Food Shelf (Wall J)|食品棚（壁J）
Food Shelf (Wall J)|食品棚（壁J）
Partition|ついたて
Partition|ついたて
Partition|ついたて
Dish Shelf|食器棚
Dish Shelf|食器棚
Shelf B|棚B
Food Shelf (Wall J)|食品棚（壁J）
Food Shelf (Wall J)|食品棚（壁J）
Partition|ついたて
Partition|ついたて
Partition|ついたて
Kitchen Counter|調理台
Kitchen Counter|調理台
Kitchen Counter|調理台
Kitchen Stove|かまど
Sink|流し台
Accessories A (Kitchen Counter)|調理台用小物A
Accessories B (Kitchen Counter)|調理台用小物B
Accessories C (Kitchen Counter)|調理台用小物C
Kitchen Counter|調理台
Kitchen Counter|調理台
Kitchen Counter|調理台
Kitchen Stove|かまど
Sink|流し台
Accessories D (Kitchen Counter)|調理台用小物D
Accessories E (Kitchen Counter)|調理台用小物E
Accessories F (Kitchen Counter)|調理台用小物F
Basket|カゴ
Pot A|壺A
Pot B|壺B
Pot C|壺C
Pot D|壺D
Bundle of Straw|藁の束
Bundle of Cloth|布の束
Rope|ロープ
Pot E|壺E
Pot F|壺F
Pot G|壺G
Pot H|壺H
Pot I|壺I
Crate A|木箱A
Barrel|樽
Stacked Sacks|積まれた麻袋
Crate B|木箱B
Crate C|木箱C
Crate D|木箱D
Pots J|壺J
Sacks|袋
Sack A|麻袋A
Sack B|麻袋B
Stacked Sacks|積まれた麻袋
Crate E|木箱E
Crate F|木箱F
Crate G|木箱G
Crate H|木箱H
Clothes A|布地A
Counter|カウンターテーブル
Counter|カウンターテーブル
Counter|カウンターテーブル
Crate E|木箱E
Crate F|木箱F
Crate G|木箱G
Crate H|木箱H
Clothes B|布地B
Counter|カウンターテーブル
Counter|カウンターテーブル
Counter|カウンターテーブル
Decorative Plant|観葉植物
Display Shelf A|陳列棚A
Display Shelf B|陳列棚B
Display Shelf (Left)|陳列棚（左）
Display Shelf (Right)|陳列棚（右）
Counter|カウンターテーブル
Counter|カウンターテーブル
