Meadow|草地
Deep Meadow A|濃い草地A
Bush A (Meadow)|茂みA（草地）
Deep Meadow A|濃い草地A
Dead Grass A|枯れ草A
Dirt|土
Bush B|茂みB
Bush C|茂みC
Dirt A (Meadow)|土A（草地）
Dirt B (Meadow)|土B（草地）
Road A (Meadow)|道A（草地）
Road B (Meadow)|道B（草地）
Little Ledge A|低い段差A
Little Ledge B|低い段差B
Hole (Meadow)|穴（草地）
Fencepost A|柵A
Little Ledge (Meadow)|低い段差（草地）
Fallen Leaves (Meadow)|落ち葉（草地）
Dead Meadow|枯れた草地
River Beach|河原
Road A|道A
Fallen Leaves|落ち葉
Bush A|茂みA
Fencepost B|柵B
Dirt C (Meadow)|土C（草地）
Road C|道C
River Beach (Boudary with Meadow)|河原（草地との境界）
Water A (Shallow)|浅い水場A
Water B (Shallow)|浅い水場B
Puddle|水たまり
Road D|道D
Fencepost C|柵C
