Transparent|透明
Window Light A (4 Blocks)|窓の光A（四つ窓）
Window Light B (6 Blocks, Arch)|窓の光B（アーチ型六つ窓）
Window Light C (Lattice)|窓の光C（格子窓）
Window Light D (Square)|窓の光D（四角窓）
Window Light E (8 Blocks)|窓の光E（八つ窓）
Window Light F (Large)|窓の光F（大型窓）
Window Light F (Large)|窓の光F（大型窓）
Window A|窓A
Window A (Light)|窓A（光）
Window A (Dark)|窓A（暗闇）
Window B|窓B
Window B (Light)|窓B（光）
Window B (Dark)|窓B（暗闇）
Window Light (H)|窓の光（横）
Window Light (H, Cannot Walk)|窓の光（横・通行不可）
Window A|窓A
Window A (Light)|窓A（光）
Window A (Dark)|窓A（暗闇）
Window B|窓B
Window B (Light)|窓B（光）
Window B (Dark)|窓B（暗闇）
Window Light (H)|窓の光（横）
Window Light (H, cannot walk)|窓の光（横・通行不可）
Window A|窓A
Window A (Light)|窓A（光）
Window A (Dark)|窓A（暗闇）
Window B|窓B
Window Light G (6 Blocks)|窓の光G（六つ窓）
Window B (Dark)|窓B（暗闇）
Window Light (H)|窓の光（横）
Window Light (H)|窓の光（横）
Window C|窓C
Window C (Light)|窓C（光）
Window C (Curtain)|窓C（カーテン）
Window C (Curtain)|窓C（カーテン）
Window D|窓D
Window D (Light)|窓D（光）
Window E|窓E
Window E (Light)|窓E（光）
Window C|窓C
Window C (Light)|窓C（光）
Window C (Curtain)|窓C（カーテン）
Window C (Curtain)|窓C（カーテン）
Window D|窓D
Window D (Light)|窓D（光）
Window E|窓E
Window E (Light)|窓E（光）
Window F|窓F
Window F (Light)|窓F（光）
Window F (Dark)|窓F（暗闇）
Window G|窓G
Window G (Light)|窓G（光）
Window G (Dark)|窓G（暗闇）
Window D (Dark)|窓D（暗闇）
Window E (Dark)|窓E（暗闇）
Window F|窓F
Window F (Light)|窓F（光）
Window F (Dark)|窓F（暗闇）
Window G|窓G
Window G (Light)|窓G（光）
Window G (Dark)|窓G（暗闇）
Window D (Dark)|窓D（暗闇）
Window E (Dark)|窓E（暗闇）
Large Window|大型窓
Large Window|大型窓
Large Window (Light)|大型窓（光）
Large Window (Light)|大型窓（光）
Large Window (Dark)|大型窓（暗闇）
Large Window (Dark)|大型窓（暗闇）
Window H|窓H
Window H (Curtain)|窓H（カーテン）
Large Window|大型窓
Large Window|大型窓
Large Window (Light)|大型窓（光）
Large Window (Light)|大型窓（光）
Large Window (Dark)|大型窓（暗闇）
Large Window (Dark)|大型窓（暗闇）
Window H|窓H
Window H (Curtain)|窓H（カーテン）
Stained Glass Window A (Light)|ステンドグラスA（光）
Stained Glass Window A|ステンドグラスA
Stained Glass Window A (Dark)|ステンドグラスA（暗闇）
Stained Glass Window B (Light)|ステンドグラスB（光）
Stained Glass Window B|ステンドグラスB
Stained Glass Window B (Dark)|ステンドグラスB（暗闇）
Stained Glass Window Light (Left)|ステンドグラスの光（左）
Stained Glass Window Light (Right)|ステンドグラスの光（右）
Stained Glass Window A (Light)|ステンドグラスA（光）
Stained Glass Window A|ステンドグラスA
Stained Glass Window A (Dark)|ステンドグラスA（暗闇）
Stained Glass Window B (Light)|ステンドグラスB（光）
Stained Glass Window B|ステンドグラスB
Stained Glass Window B (Dark)|ステンドグラスB（暗闇）
Stained Glass Window Light (Left)|ステンドグラスの光（左）
Stained Glass Window Light (Right)|ステンドグラスの光（右）
Stained Glass Window A (Light)|ステンドグラスA（光）
Stained Glass Window A|ステンドグラスA
Stained Glass Window A (Dark)|ステンドグラスA（暗闇）
Stained Glass Window B (Light)|ステンドグラスB（光）
Stained Glass Window B|ステンドグラスB
Stained Glass Window B (Dark)|ステンドグラスB（暗闇）
Stained Glass Window Light (Left)|ステンドグラスの光（左）
Stained Glass Window Light (Right)|ステンドグラスの光（右）
Stained Glass Window Light A|ステンドグラスの光A
Shadow (Cannot Walk)|影（通行不可）
|
|
Stained Glass Window D|ステンドグラスD
Stained Glass Window D|ステンドグラスD
Stained Glass Window D (Dark)|ステンドグラスD（暗闇）
Stained Glass Window D (Dark)|ステンドグラスD（暗闇）
Stained Glass Window C|ステンドグラスC
Stained Glass Window C|ステンドグラスC
Stained Glass Window C (Dark)|ステンドグラスC（暗闇）
Stained Glass Window C (Dark)|ステンドグラスC（暗闇）
Stained Glass Window D|ステンドグラスD
Stained Glass Window D|ステンドグラスD
Stained Glass Window D (Dark)|ステンドグラスD（暗闇）
Stained Glass Window D (Dark)|ステンドグラスD（暗闇）
Stained Glass Window C|ステンドグラスC
Stained Glass Window C|ステンドグラスC
Stained Glass Window C (Dark)|ステンドグラスC（暗闇）
Stained Glass Window C (Dark)|ステンドグラスC（暗闇）
Stained Glass Window D|ステンドグラスD
Stained Glass Window D|ステンドグラスD
