Transparent|透明
Grass A|草A
Mushrooms A|キノコA
Mushrooms B|キノコB
Carnivorous Plant|食虫植物
Mushrooms C|キノコC
Mushrooms D|キノコD
Mushrooms E|キノコE
Grass B|草B
Grass C|草C
Tree Branch|木の枝
Grass D|草D
Grass E|草E
Grass E|草E
Boulder C|岩C
Flower|花
Stump A|切り株A
Stump B|切り株B
Small Tree A|小さな木A
Small Tree B|小さな木B
Boulder A|岩A
Boulder B|岩B
Boulder C|岩C
Barricade A (V)|バリケードA（縦）
Sign A|立て札A
Sign B|立て札B
Sign C|立て札C
Sign D|立て札D
Sign E|立て札E
Sign F|立て札F
Barricade A (H)|バリケードA（横）
Barricade A (V)|バリケードA（縦）
Fallen Log A (V)|倒木A（縦）
Fallen Log B (H)|倒木B（横）
Fallen Log B (H)|倒木B（横）
Fallen Log B (V)|倒木B（縦）
Dead Tree|枯れ木
Tree A|木A
Tree B|木B
Tree B|木B
Fallen Log A (V)|倒木A（縦）
Fallen Log A (H)|倒木A（横）
Fallen Log A (H)|倒木A（横）
Fallen Log B (V)|倒木B（縦）
Dead Tree|枯れ木
Tree A|木A
Tree B|木B
Tree B|木B
Ledge A (Top)|段差A（上端）
Ledge A (Top)|段差A（上端）
Ledge A (Top)|段差A（上端）
Shadow|影
Boulder D|岩D
Ledge B (Top)|段差B（上端）
Ledge B (Top)|段差B（上端）
Ledge B (Top)|段差B（上端）
Cliff (Bottom)|崖（下端）
Cliff (Bottom)|崖（下端）
Cliff (Bottom)|崖（下端）
Shadow (Impassable)|影（通行不可）
Boulder E|岩E
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge A (Top, Shadow)|段差A（上端・影）
|
Cliff (Bottom, Shadow, Center)|崖（下端・影・中央）
Cliff (Bottom, Shadow, Right)|崖（下端・影・右）
Shadow|影
Shadow|影
Ledge B (Top, Shadow)|段差B（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Stairs A|階段A
Stairs A|階段A
Stairs A|階段A
Stairs B|階段B
Shadow (Stairs B)|階段の影
Cliff (Ledge A, Bottom, Height 1)|崖（段差A・下端・高さ1マス）
Cliff (Ledge A, Bottom, Height 1)|崖（段差A・下端・高さ1マス）
Cliff (Ledge A, Bottom, Height 1)|崖（段差A・下端・高さ1マス）
Stairs A (Bottom)|階段A（下端）
Stairs A (Bottom)|階段A（下端）
Stairs A (Bottom)|階段A（下端）
Stairs B (Bottom)|階段B（下端）
Shadow (Stairs B)|階段の影
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
Cliff (Ledge A)|崖（段差A）
Cliff (Ledge A)|崖（段差A）
Cliff (Ledge A)|崖（段差A）
Cliff (Ledge A, Shadow, Center)|崖（段差A・影・中央）
Cliff (Ledge A, Shadow, Right)|崖（段差A・影・右）
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
|
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
Cliff (Ledge A)|崖（段差A）
Cliff (Ledge A)|崖（段差A）
Cliff (Ledge A)|崖（段差A）
Cliff (Ledge A, Shadow, Center)|崖（段差A・影・中央）
Cliff (Ledge A, Shadow, Right)|崖（段差A・影・右）
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
Little Ledge A (Myriad Roots)|低い段差A（無数の根）
Slope A (Ledge A)|坂A（段差A）
Slope A (Ledge A)|坂A（段差A）
Slope A (Ledge A)|坂A（段差A）
Slope B (Ledge A)|坂B（段差A）
Slope C (Ledge B)|坂C（段差B）
Slope C (Ledge B)|坂C（段差B）
Slope C (Ledge B)|坂C（段差B）
Slope D (Ledge B)|坂D（段差B）
Slope A (Ledge A)|坂A（段差A）
Slope A (Ledge A)|坂A（段差A）
Slope A (Ledge A)|坂A（段差A）
