Transparent|透明
Crate A|木箱A
Baggage|荷物
Crates B|木箱B
Horse Water trough|馬の水桶
Training Dummy|木人
Notice Board A|掲示板A
Notice Board A|掲示板A
Wood Fence A|木の柵A
Barrel|樽
Pot A|壺A
Pot B|壺B
Horse Water trough|馬の水桶
Training Dummy|木人
Notice Board A|掲示板A
Notice Board A|掲示板A
Hole A (Cliff)|穴A（崖）
Cliff Corner (Canal C, Left)|崖の角（水路C・左）
Cliff Corner (Canal C, Right)|崖の角（水路C・右）
Cliff Corner (Canal C, Both)|崖の角（水路C・両方）
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Sign A|立て札A
Sign B|立て札B
Hole B (Cliff)|穴B（崖）
Hole B (Cliff)|穴B（崖）
Hole B (Cliff)|穴B（崖）
Hole|穴
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Sign C|立て札C
Notice Board B|掲示板B
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Ledge A (Meadow A, Top)|段差A（草地A・上端）
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Shadow (Criff, Water Edge)|影（水際の崖）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Ledge A (Meadow A, Top, Shadow)|段差A（草地A・上端・影）
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Cliff (Water Edge)|水際の崖
Shadow (Criff, Water Edge)|影（水際の崖）
Cliff|崖
Cliff|崖
Cliff|崖
Boulder B|岩B
Flowers E|花E
Flowers F|花F
Flowers G|花G
Dirt|土
Gravel A|砂利A
Gravel B|砂利B
Boulder A|岩A
Boulder B|岩B
Water Plants|水草
Stepping Stones A|踏み石A
Stepping Stones B|踏み石B
Stepping Stones C|踏み石C
Grass A|草A
Grass B|草B
Grass C|草C
Bush A|植え込みA
Flowers A|花A
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree A|大きな木A
Large Tree A|大きな木A
Grass D|草D
Tree|木
Flowers B|花B
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree A|大きな木A
Large Tree A|大きな木A
Flowers C|花C
Tree|木
Flowers D|花D
Large Tree B|大きな木B
Large Tree B|大きな木B
Large Tree B|大きな木B
Planter A|プランターA
Planter B|プランターB
Planter C|プランターC
Planter I|プランターI
Planter J|プランターJ
Large Tree B|大きな木B
Large Tree B|大きな木B
