Transparent|透明
Gravel|砂利
Boulder A|岩A
Boulder B|岩B
Boulder C|岩C
Boulder D|岩D
Earth A|土砂A
Earth B|土砂B
Sign A|立て札A
Boulder E|岩E
Boulder E|岩E
Boulder F|岩F
Boulder F|岩F
Boulder D|岩D
Earth C|土砂C
Earth C|土砂C
Sign B|立て札B
Boulder E|岩E
Boulder E|岩E
Boulder F|岩F
Boulder F|岩F
Boulder G|岩G
Earth C|土砂C
Earth C|土砂C
Ledge A (Top)|段差A（上端）
Ledge A (Top)|段差A（上端）
Ledge A (Top)|段差A（上端）
Ledge A (Top)|段差A（上端）
Ledge B (Top)|段差B（上端）
Ledge B (Top)|段差B（上端）
Ledge B (Top)|段差B（上端）
Ledge B (Top)|段差B（上端）
Cliff (Bottom)|崖（下端）
Cliff (Bottom)|崖（下端）
Cliff (Bottom)|崖（下端）
Cliff (Bottom, Shadow, Center)|崖（下端・影・中央）
Cliff (Bottom, Shadow, Right)|崖（下端・影・右）
Cliff (Bottom, Water)|水場の崖（下端）
Cliff (Bottom, Water)|水場の崖（下端）
Cliff (Bottom, Water)|水場の崖（下端）
Cliff (Bottom, Shallow Water)|浅い水場の崖（下端）
Cliff (Bottom, Shallow Water)|浅い水場の崖（下端）
Cliff (Bottom, Shallow Water)|浅い水場の崖（下端）
Cliff (Bottom, Shallow Water, Shadow, Center)|浅い水場の崖（下端・影・中央）
Cliff (Bottom, Shallow Water, Shadow, Right)|浅い水場の崖（下端・影・右）
Cliff (Bottom, Water)|水場の崖（下端）
Cliff (Bottom, Water)|水場の崖（下端）
Cliff (Bottom, Water)|水場の崖（下端）
Wall (Top)|壁（上端）
Wall (Top)|壁（上端）
Wall (Top)|壁（上端）
Wall F|壁F
Wall F|壁F
Wall Decoration A|壁装飾A
Boulder H (Underwater)|岩H（水中）
Boulder D (Underwater)|岩D（水中）
Wall F|壁F
Wall F|壁F
Wall F|壁F
Wall F|壁F
Wall F|壁F
Wall Decoration B|壁装飾B
Boulder I (Underwater)|岩I（水中）
Boulder D (Underwater)|岩D（水中）
Wall F|壁F
Wall F|壁F
Wall F|壁F
Shadow|影
Wall F (Shadow, Center)|壁F（影・中央）
Wall F (Shadow, Right)|壁F（影・右）
Boulder D (Water)|岩D（水場）
Boulder D (Shallow Water)|岩D（浅い水場）
Wall F|壁F
Wall F|壁F
Wall F|壁F
Shadow (Impassable)|影（通行不可）
Shadow|影
Wall (Sneak Through)|壁（すり抜け）
Boulder D (Water)|岩D（水場）
Boulder D (Shallow Water)|岩D（浅い水場）
Wall F|壁F
Wall F|壁F
Wall F|壁F
Shadow|影
Shadow (Stairs B)|階段の影
Wall (Top)|壁（上端）
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Stairs A (Bottom)|階段A（下端）
Stairs A (Bottom)|階段A（下端）
Stairs A (Bottom)|階段A（下端）
Stairs B (Bottom)|階段B（下端）
Shadow (Stairs B)|階段の影
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge A (Top, Shadow)|段差A（上端・影）
Ledge A (Top, Shadow)|段差A（上端・影）
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
|
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Ledge B (Top, Shadow)|段差B（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Ledge B (Top, Shadow)|段差B（上端・影）
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Cliff Decoration F (Bottom)|崖装飾F（下端）
Cliff Decoration F (Bottom)|崖装飾F（下端）
Cliff Decoration F (Bottom)|崖装飾F（下端）
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Shadow (Right Haif)|影（右半分）
Shadow (Lower Haif)|影（下半分）
Shadow (Upper Haif)|影（上半分）
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Arcuate Wall|アーチ状の壁
Stairs A (Shallow Water)|階段A（浅い水場）
Stairs A (Shallow Water)|階段A（浅い水場）
Stairs A (Shallow Water)|階段A（浅い水場）
Ledge D|段差D
Ledge D|段差D
Ledge D|段差D
|
Stairs A (Shallow Water, Bottom)|階段A（浅い水場・下端）
Stairs A (Shallow Water, Bottom)|階段A（浅い水場・下端）
Stairs A (Shallow Water, Bottom)|階段A（浅い水場・下端）
Stairs B (Shallow Water, Bottom)|階段B（浅い水場・下端）
Ledge D|段差D
Ground A|床A
Ledge D|段差D
Stairs C (Ledge D)|階段C（段差D）
Entrance A (Mine)|入口A（坑道）
Entrance A (Mine)|入口A（坑道）
Entrance A (Mine)|入口A（坑道）
Entrance B (Mine)|入口B（坑道）
Ledge D|段差D
Ledge D|段差D
Ledge D|段差D
Stairs D (Ledge D)|階段D（段差D）
Entrance A (Mine)|入口A（坑道）
Entrance A (Mine)|入口A（坑道）
Entrance A (Mine)|入口A（坑道）
Entrance B (Mine)|入口B（坑道）
Ledge D|段差D
